ID,"How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [I wanted to receive a payment.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [My project/company highly recommended me to do so.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [Gaining  respect from the project community.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [Mentoring others gave me a sense of accomplishment.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [I wanted to announce my mentor experience on the resume.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [I hoped the project can be sustainable --- need new blood.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [Newcomers can stimulate my creativity.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [I wanted to improve technical skills.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [I hoped to improve instruct ability (e.g., communication, organization, and coordination).]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [I notice that other project members acted as mentors.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [I think it is challenging and I like to do challenging thing.]","How much do you agree with the following statements? "" I act as a mentor at GSoC because (of) ..."" [GSoC can advertise this project.]",Other Motivations,"Have you ever participated in an org application (i.e., mentoring organizations submit applications to Google)?","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [I wasn__ sure what should be written in the org application.]","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [I wasn__ sure the screening criteria of Google administrators.]","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [Coming up with good ideas was difficult.]","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [Recruiting mentors was difficult.]","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [Previous GSoC experience of my org was limited.]","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [Previous GSoC experience of my org was not good (low pass/fail ratio).]","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [There were too many competitors (organizations).]","If yes: How much do you agree with the following statements? ""During org application, I faced some challenges because (of) ..."" [I wasn__ sure about the support strategies, e.g., how to keep mentors engaged with their mentees and get students involved in my community during GSoC.]","How much do you agree with the following statements? ""During student selection and community bonding period, I faced some challenges because (of) ..."" [No clear criteria/ guide for the acceptance of students.]","How much do you agree with the following statements? ""During student selection and community bonding period, I faced some challenges because (of) ..."" [Too many/ few applicants to select.]","How much do you agree with the following statements? ""During student selection and community bonding period, I faced some challenges because (of) ..."" [Difficulty in knowing applicants_ technical skills through  proposal and pre-contact.]","How much do you agree with the following statements? ""During student selection and community bonding period, I faced some challenges because (of) ..."" [Difficulty in knowing applicants_ personality type and work style through  proposal and pre-contact.]","How much do you agree with the following statements? ""During student selection and community bonding period, I faced some challenges because (of) ..."" [Communication issues, e.g., different time zones, multiple communication channels, and English skills.]","How much do you agree with the following statements? ""During student selection and community bonding period, I faced some challenges because (of) ..."" [Lack of interpersonal skills.]","How much do you agree with the following statements? ""During student selection and community bonding period, I faced some challenges because (of) ..."" [Not having a formal procedure for introducing the community, e.g., help them learn the organization's processes, projects_ code structure, etc.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Handling a large number of mentees.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in switching context.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in time-management.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in managing different mentees' accounts.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Adjusting interaction style to different mentee personalities.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in guiding mentees who are resistant to coaching.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Providing constructive feedback based on the mentee__ background.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Convincing people to start small rather than big.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Ensuring that the mentees finish their work.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in creating an inclusive community.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Cultural differences.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Communication issues related to time zone, place, and English skills.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Lack of interpersonal skills.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Harsh project atmosphere.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in identifying appropriate tasks for newcomers.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difference in the devices that mentors and mentees use.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [The cognitive difference between mentors and mentees making mentees feel difficult to understand mentors.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in making mentees proactive.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in setting milestones for mentees.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [Difficulty in knowing when student disappeared.]","How much do you agree with the following statements? ""During GSoC official execution, as a mentor, I faced some challenges because (of) ..."" [No clear criteria /guide for the evaluation of students.]","Other challenges in org application, student selection, and community bonding period, or official execution (coding process)","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Each project on the ideas list includes title, description, expected outcomes, and skills required.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Set a reasonable workload.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Have multiple ideas and have them categorized.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Make it easy for Administrators to find the ideas list.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Update Project Ideas especially when choosing ideas from previous lists.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Never link to just a bug tracker.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Don__ be vague about the ideas.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Be sure the URL linked to for the Ideas list works.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for writing  good ideas list _"" [Maintain an __deas page_ with a running list of entry projects year-round.]","As a mentor, which kind of projects/tasks do you think are suitable for students?","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Understand student motivations: why do they apply?]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Check whether the student has been around contributing before the application period.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Look through student GitHub profiles to check whether they have certain skills.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Assess whether the student is patient to apply every suggestion from mentors.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Assess whether the student can have a proper technical discussion.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Assess whether the student is an online friend.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Assess whether the student can resolve some medium-priority tasks/issues.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Inquire about the student__ GSoC history.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Find out where else the student has applied.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Look at the student__ other summer plans.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [Assess whether the student personality type and work style match that of mentors.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for selecting a student _"" [When in Doubt, fail the Student Early.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Share contact details, e.g., informed about when you may be unavailable to your student.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Use multiple communication channels.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Request regular reports, e.g., weekly reports.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Keep communicating as much as possible.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Provide a safe environment to allow students to ask silly questions.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Be patient with students even when they ask silly questions.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Be inclusive.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Apologize effectively if it is needed.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Set achievable goals and progressive milestones.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Ask students how much time they can devote per week.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Ask students for their opinions before decisions.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Make sure that students are familiar with the workflow of the community as early as possible.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Tasks and completion dates are associated with each milestone.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Discuss the failure, e.g., miss a deadline.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Deliver feedback early. ]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Give positive feedback to students.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Don__ avoid critique, but don__ be a jerk.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [During an evaluation, be specific about both positive and negative aspects of a student__ performance.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Make the suggestions or improvements relevant to what the student is currently working on.]","How much do you agree with the following statements? ""As a mentor of GSoC, I followed the following strategies for encouraging good communication and mentorship_"" [Provide specific examples for students.]",Other Strategies,"How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Interpersonal skills  (e.g., communication and coordination)]","How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Organizational management skills (e.g., plan, project management, and time management)]","How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Ability to identify suitable tasks for newcomers]","How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Ability to break down tasks]","How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Sense of accomplishment]","How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Improvement of technical skills]","How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Community reputation]","How much do you agree with the following statements? ""As a mentor of GSoC, I have gained _"" [Donation or reward]",Other Gains,How many years of professional experience do you have in software development?,How many GSoC editions have you participated in as a mentor?,Which field does the project you mentored belong to?,Are your hired by the company to contribute to this project?,Gender,Age,"Thank you for your participation in this survey. If you'd like to be informed about our findings, please leave your email address below.",Would you be willing to be contacted for a quick follow-up online interview?,Do you have any further comments for us?
1,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,,Yes,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Low-hanging fruit;Fun/Peripheral;Infrastructure/Automation,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,,Agree,Agree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,,3,2,Cloud,Yes,Male,26-30,XXX,Yes,
2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,,Yes,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,,Strongly Agree,I don't know,Agree,I don't know,I don't know,Agree,Agree,Strongly Agree,Agree,Low-hanging fruit;Risky/Exploratory;Fun/Peripheral;Core development;Infrastructure/Automation,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,,2,1,End-User Applications,No,Male,31-40,XXX,Yes,
3,Strongly Disagree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,"To support the career of young programmers from different backgrounds. So they can have experience, references and good CV.",No,,,,,,,,,Neutral,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"The mentees are new to working life - so the challenge to get them used to working in a team, communicate etc were expected - that is part of the mentors job",Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Low-hanging fruit;Risky/Exploratory;Fun/Peripheral;pilot / proof of concept. Small.,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,"Prepare /mentor them for expectations from a typical workplace. Eg. around communication, collaboration, behaviour, office politics so that they learn a bit more than just the technical aspects of the project. Set them up for a successful career and working life.",Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,A scientific publication. A lot of kudos from within the project. A valuable proof-of-concept to build on for years to come.,5,1,Science and Medicine,Yes,Female,More than 40,XXX,No,
4,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,"Some of the above options covered this but getting new people into the project, learning how to make it easier for them to get started and become productive, and other polish that only happens when active new users show up is an important benefit. I do find it personally rewarding and invigorating to mentor GSoC. The interaction with students is a nice change for me. I considered academia early in my career but realized I liked R&D more without the academic politics. Working with students on projects seems to be the part of the academic experience I enjoyed.academic teaching ",Yes,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,"In our org, many projects follow a general pattern and we have developed guidance for those. We have other activities that are not as well documented and students do find that challenging. This is part of developing documentation so processes are captured. It isn't fun and you need people unfamiliar with the process to test the documentation. Eventually it settles out but you have to always be looking for where your documentation is lacking.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Low-hanging fruit;Fun/Peripheral;Core development;Infrastructure/Automation,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,"In general terms, new community members keep you on your toes and help keep the community vibrant. Our best projects are the ones mentors want to do but can't seem to find time to accomplish.",35,14,Operating Systems,Yes,Male,More than 40,XXX,Yes,"Thanks for doing this survey. Hopefully there will be some interesting insights for projects, mentors, and the OSPO."
5,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,I wanted help to move things forward inside the project.,No,,,,,,,,,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Low quality of student interaction (a lot of very low effort applications),Neutral,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,"Low-hanging fruit;Fun/Peripheral;Infrastructure/Automation;""Tedious"" is not the right word, but tasks that are too time-intensive for maintainers while not being particularly challenging.",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,The contribution of the student was useful,3,2,Other,No,Male,31-40,XXX,Yes,
6,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,I wan to get things done but I can't do it all alone.,Yes,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Challenged were solved by requiring students to start contributing before the application period. No contribution == proposals get discarded automatically. Proposals are quite meaningless without knowledge of the codebase.,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Low-hanging fruit;Risky/Exploratory;Core development,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,15,5,Other,No,Male,31-40,,No,
7,Strongly Disagree,Strongly Disagree,,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,GSoC Mentors don't get a payment.,No,,,,,,,,,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Low-hanging fruit;Risky/Exploratory;Fun/Peripheral;Core development;Infrastructure/Automation,Neutral,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,,2,5,Science and Medicine,No,Male,31-40,,No,
8,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Agree,,No,,,,,,,,,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Fun/Peripheral;Core development;An important (useful for the community of users) addition to the project that isn't yet implemented. This will motivate the student to work hard on it, and get good visibility from the users community once its completed.",Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,7,2,Science and Medicine,No,Male,31-40,,No,
9,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,,Yes,Neutral,Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Low-hanging fruit;Fun/Peripheral;Core development,Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Communicate daily or near-daily,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,"Improved code, new features, some new contributors",17,6,Science and Medicine,No,Male,More than 40,XXX,No,
10,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,I enjoy mentoring.,No,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I don't know,Fun/Peripheral;Core development,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,,20+,7,Operating Systems,No,Male,31-40,XXX,Yes,I look forward to reading your results!
